Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
SDSS J124748.90-011109.9|51609-0292-281 |21.33758|0.08386|  7113|   52|8.004|0.087|20.89305| 1.34509|
SDSS J124807.47+463758.6|53089-1455-059 | 8.58907|0.10403|  9017|   61|8.016|0.075| 8.44948| 0.48865|
SDSS J124836.84+433943.9|53115-1456-510 | 6.62787|0.10753| 17003|  264|8.410|0.043| 6.20197| 0.27342|
SDSS J124839.52-014554.3|54612-2922-626 | 3.76966|0.36644|  9796|   80|7.873|0.086| 3.73648| 0.24446|
SDSS J124844.41-031210.6|54612-2922-035 | 2.54574|0.37594| 17534|  340|7.976|0.062| 2.34063| 0.13020|
SDSS J124912.32+442945.6|53063-1373-191 | 5.61098|0.08533| 19178|  200|7.808|0.033| 5.16927| 0.16049|
SDSS J124920.32+551606.7|52673-1038-506 | 7.68563|0.06405| 16171|  137|8.033|0.025| 7.49611| 0.17782|
SDSS J124944.66+601844.4|52398-0957-397 | 8.34791|0.11996|  9175|   71|8.183|0.080| 8.19332| 0.53844|
SDSS J125006.14+195524.3|54483-2615-344 |12.37456|0.22896|  8119|   65|8.424|0.085|12.48176| 0.92268|
SDSS J125035.99+103509.7|54589-2963-415 | 7.73719|0.08200| 18357|  101|7.802|0.018| 7.18256| 0.11910|
SDSS J125102.53+451212.9|53063-1373-484 | 6.08525|0.11274| 15354|  182|8.046|0.031| 6.12372| 0.18595|
SDSS J125119.59+075345.2|54270-1792-397 |10.08926|0.22817|  9768|   68|8.482|0.063| 9.06861| 0.53588|
SDSS J125123.16+380029.0|53772-1989-173 | 7.99421|0.10430| 10441|   51|7.975|0.035| 8.55458| 0.25349|
SDSS J125135.27+292044.1|54180-2457-027 | 5.83364|0.20327| 17010|  159|8.029|0.029| 5.52648| 0.14706|
SDSS J125157.14+394028.5|53772-1989-446 | 7.01827|0.12705| 10202|   53|8.044|0.045| 7.46159| 0.27531|
SDSS J125214.27-005057.5|51609-0292-052 | 6.87308|0.13797| 14695|  221|8.002|0.032| 6.34896| 0.21298|
SDSS J125217.15+154443.2|53171-1770-567 | 8.05294|0.06006| 26988|   85|7.285|0.013| 7.85010| 0.10737|
SDSS J125217.85+104509.7|54594-2965-447 | 2.78106|0.37650| 17102|  167|7.931|0.032| 2.62881| 0.07506|
SDSS J125240.63+483043.2|54563-2923-090 | 2.80833|0.36158| 16125|  540|8.484|0.068| 3.21740| 0.24922|
SDSS J125241.94+191527.2|54568-2899-302 | 7.06693|0.08806| 18732|  132|7.866|0.022| 6.40538| 0.13221|
SDSS J125309.61+634242.5|52320-0782-414 | 1.90239|0.17228| 30514|  331|7.862|0.070| 1.93028| 0.11488|
