Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
SDSS J123018.43+285735.0|56340-5981-0582| 3.04562|0.18804| 22398|  315|7.918|0.043| 2.71255| 0.11213|
SDSS J123025.63+065248.9|55927-5402-0296| 1.59434|0.27387| 27895|  257|7.598|0.042| 1.52990| 0.06167|
SDSS J123058.92+183110.9|56034-5852-0920| 3.14689|0.22179| 19332|  247|7.867|0.040| 2.84821| 0.10732|
SDSS J123116.21+250504.4|56338-5980-0176| 3.61779|0.31813| 16469|  195|7.874|0.037| 3.01024| 0.10162|
SDSS J123117.88+112736.1|55979-5403-0312| 1.59776|0.29421| 30255|  278|7.850|0.058| 1.52791| 0.07577|
SDSS J123120.03+474323.0|56811-7419-0577| 6.04350|0.16914|  9859|   72|7.973|0.075| 5.85417| 0.34356|
SDSS J123151.82+613013.7|56686-7118-0219| 1.71335|0.14708| 32034|  280|7.815|0.063| 1.70186| 0.09197|
SDSS J123202.46+380209.8|55302-3965-0958| 1.45278|0.34818| 19571|  346|7.915|0.055| 2.23854| 0.11601|
SDSS J123226.09+412919.5|55618-4702-0494|10.58823|0.05339| 20308|   99|8.033|0.015|10.36978| 0.14754|
SDSS J123254.24+364405.1|55302-3965-0022| 6.87376|0.07631| 19194|  123|7.935|0.020| 6.34912| 0.12073|
SDSS J123326.64+461327.5|56367-6636-0826| 8.07146|0.06436| 23649|  107|7.935|0.015| 7.71846| 0.11260|
SDSS J123337.49+494706.2|56389-6670-0686| 6.77404|0.19375|  6909|   69|7.855|0.125| 8.88548| 0.78333|
SDSS J123341.58+201542.4|56045-5853-0724| 2.08935|0.31637| 25890|  385|7.785|0.056| 1.64493| 0.08705|
SDSS J123343.99+223307.8|56310-5983-0246| 2.29188|0.25450| 20306|  276|7.842|0.041| 2.16532| 0.08264|
SDSS J123358.71+133650.5|56010-5405-0432| 2.34754|0.35263| 21588|  298|7.905|0.042| 2.44056| 0.09732|
SDSS J123406.86+443115.2|56367-6636-0154| 3.09657|0.13691| 27487|  212|7.828|0.034| 2.97379| 0.09440|
SDSS J123425.97+352652.1|55590-3968-0358| 7.90182|0.24264|  8654|   59|8.034|0.076| 6.97083| 0.40974|
SDSS J123429.15+131658.6|55979-5403-0841| 3.27056|0.33927| 21990|  353|8.103|0.049| 3.07926| 0.14615|
SDSS J123442.90+152728.6|56013-5404-0152| 3.81184|0.25153| 13694|  324|7.990|0.038| 4.13188| 0.17697|
SDSS J123446.82+164723.2|56035-5854-0456| 5.65961|0.19347| 11250|   92|8.066|0.036| 5.58644| 0.18397|
SDSS J123510.64+045359.9|55674-4753-0910| 2.13664|0.36218| 20808|  396|7.986|0.057| 2.50075| 0.13365|
